SYMBOL,DATE,PREV_CLOSE,CLOSE_PRICE,DELIV_QTY,%CHANGE,AVG_DELIV_QTY_5D_PRIOR,DELIVERY_TIMES
TEJASNET,2025-09-16,594.1,615.3,139490,3.568422824440318,45291.4,3.0798341406977925
THINKINK,2025-09-16,0.28,0.3,23072907,7.142857142857128,4467967.6,5.164072138750514
TOP15IETF,2025-09-16,10.47,10.53,16570,0.5730659025787843,4347.6,3.81129818750575
TRIGYN,2025-09-16,73.16,73.7,37217,0.7381082558775373,11894.0,3.1290566672271733
TTML,2025-09-16,57.75,58.74,907533,1.7142857142857177,140946.2,6.438861068975254
TVSSCS,2025-09-16,132.25,134.55,116219,1.7391304347826173,36817.4,3.156632461825115
UBL,2025-09-16,1797.85,1825.0,89890,1.5101371082125925,26082.4,3.4463853019660764
UFO,2025-09-16,74.99,76.82,14267,2.4403253767168938,3807.6,3.7469797247610046
UPSURGE,2025-09-16,89.35,93.8,68530,4.980414101846674,5334.6,12.846323998050462
USHAMART,2025-09-16,386.3,406.95,165784,5.345586331866419,24020.4,6.901800136550598
VASCONEQ,2025-09-16,58.5,62.68,7039575,7.145299145299145,200802.8,35.05715557751187
VINCOFE,2025-09-16,151.0,155.45,371659,2.9470198675496615,91707.2,4.052669801280597
VINTRON,2025-09-16,16.94,17.78,2731734,4.958677685950412,84380.8,32.373881262088055
VIRINCHI,2025-09-16,30.3,31.32,338942,3.3663366336633653,77417.8,4.378088759949262
VIVIDIND,2025-09-16,17.13,18.5,17226,7.997664915353188,3616.6,4.763037106674777
VIVOBIOT,2025-09-16,37.12,38.06,163205,2.5323275862069097,26264.0,6.214019189765459
VMART,2025-09-16,729.15,738.4,33437,1.2686004251525749,3538.2,9.450285455881522
WEWIN,2025-09-16,49.99,50.55,64135,1.120224044808952,2549.4,25.156899662665726
WILLAMAGOR,2025-09-16,33.09,34.87,72950,5.379268661226938,5371.8,13.580177966417216
WSFX,2025-09-16,61.55,61.67,29515,0.19496344435419097,5085.8,5.803413425616422
YASHMGM,2025-09-16,10.35,10.51,30821,1.5458937198067646,4564.0,6.7530674846625764
ZODIACLOTH,2025-09-16,99.72,113.29,43702,13.608102687525077,1785.8,24.47194534662336
